[Header]
TITLE,MPMS DC Measurement
BYAPP,MPMS Measurement,2.1,Summary
FILEOPENTIME, 1454882259.463000 2/7/2016, 3:57:39 PM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.60,  Build 081

INFO, NAME, tb11c
INFO, WEIGHT, 0.100
INFO, AREA, 1.000
INFO, LENGTH, 1.000
INFO, SHAPE, 1
INFO, COMMENT, 650C in 0.1% O2 in AR, single xtal, H//ab, lN2 quench
INFO, SEQUENCE FILE: Sequence_MT_5_27_77_45.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,15,16,17,18,27,28
FIELDGROUP,Transverse,1,2,3,4,10,11,12,13,14,19,20,21,22,27,28

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Algorithm,Long Reg Fit,Long Percent Error (%),Trans Moment (emu),Trans Scan Std Dev,Trans Algorithm,Trans Reg Fit,Trans Percent Error (%),Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Long Percent Error [w/o ABS] (%),Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],Trans Percent Error [w/o ABS] (%),Points per Scan,Scans per Measurement,Scan Length (cm),Delta Temp (K),Rot Position (deg),Error,EC Comp. Running,Using ABS,
1454882259.463,,1.004399e+003,4.995770e+000,-8.473013e-002,5.415870e-005,3,9.968270e-001,6.391905e-002,,,,,,,,,,,,,,64,2,3.000000e+000,2.502918e-003,0.000000e+000,0,,0,
1454882313.124,,2.008946e+003,4.998090e+000,-1.422148e-001,8.872965e-004,3,9.968283e-001,6.239130e-001,,,,,,,,,,,,,,64,2,3.000000e+000,6.340981e-003,0.000000e+000,0,,0,
1454882366.135,,3.012603e+003,4.997721e+000,-1.700408e-001,1.116375e-003,3,9.967644e-001,6.565338e-001,,,,,,,,,,,,,,64,2,3.000000e+000,6.337643e-003,0.000000e+000,0,,0,
1454882419.225,,4.016706e+003,4.997979e+000,-1.765256e-001,1.652325e-003,3,9.968554e-001,9.360257e-001,,,,,,,,,,,,,,64,2,3.000000e+000,4.422188e-003,0.000000e+000,0,,0,
1454882473.555,,5.020660e+003,4.997353e+000,-1.713762e-001,1.709729e-003,3,9.966770e-001,9.976466e-001,,,,,,,,,,,,,,64,2,3.000000e+000,5.894661e-003,0.000000e+000,0,,0,
1454882526.595,,6.026244e+003,4.998201e+000,-1.619448e-001,1.823273e-003,3,9.966369e-001,1.125860e+000,,,,,,,,,,,,,,64,2,3.000000e+000,6.192684e-003,0.000000e+000,0,,0,
1454882580.485,,7.029902e+003,4.997869e+000,-1.512435e-001,1.885692e-003,3,9.965300e-001,1.246792e+000,,,,,,,,,,,,,,64,2,3.000000e+000,5.012035e-003,0.000000e+000,0,,0,
1454882678.346,,8.037267e+003,4.998015e+000,-1.400389e-001,1.975275e-003,3,9.966527e-001,1.410519e+000,,,,,,,,,,,,,,64,2,3.000000e+000,4.272938e-003,0.000000e+000,0,,0,
1454882733.096,,9.040479e+003,4.998237e+000,-1.301204e-001,1.700689e-003,3,9.966041e-001,1.307012e+000,,,,,,,,,,,,,,64,2,3.000000e+000,4.718304e-003,0.000000e+000,0,,0,
1454882786.127,,1.004577e+004,4.998090e+000,-1.211532e-001,1.599694e-003,3,9.963613e-001,1.320390e+000,,,,,,,,,,,,,,64,2,3.000000e+000,6.932259e-003,0.000000e+000,0,,0,
