[Header]
TITLE,MPMS DC Measurement
BYAPP,MPMS Measurement,2.1,Summary
FILEOPENTIME, 1454907900.241000 2/7/2016, 11:05:00 PM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.60,  Build 081

INFO, NAME, tb11c
INFO, WEIGHT, 0.100
INFO, AREA, 1.000
INFO, LENGTH, 1.000
INFO, SHAPE, 1
INFO, COMMENT, 650C in 0.1% O2 in AR, single xtal, H//ab, lN2 quench
INFO, SEQUENCE FILE: Sequence_MT_5_27_77_45.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,15,16,17,18,27,28
FIELDGROUP,Transverse,1,2,3,4,10,11,12,13,14,19,20,21,22,27,28

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Algorithm,Long Reg Fit,Long Percent Error (%),Trans Moment (emu),Trans Scan Std Dev,Trans Algorithm,Trans Reg Fit,Trans Percent Error (%),Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Long Percent Error [w/o ABS] (%),Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],Trans Percent Error [w/o ABS] (%),Points per Scan,Scans per Measurement,Scan Length (cm),Delta Temp (K),Rot Position (deg),Error,EC Comp. Running,Using ABS,
1454909685.162,,6.527110e+004,4.499303e+001,2.244324e-002,1.931656e-004,3,9.858431e-001,8.606849e-001,,,,,,,,,,,,,,64,2,3.000000e+000,5.649567e-003,0.000000e+000,0,,0,
1454909758.773,,6.025058e+004,4.499915e+001,2.269215e-002,6.445017e-004,3,9.892972e-001,2.840197e+000,,,,,,,,,,,,,,64,2,3.000000e+000,3.776550e-003,0.000000e+000,0,,0,
1454909831.665,,5.523304e+004,4.499868e+001,2.184322e-002,8.066775e-004,3,9.894682e-001,3.693034e+000,,,,,,,,,,,,,,64,2,3.000000e+000,7.537842e-003,0.000000e+000,0,,0,
1454909903.546,,5.020956e+004,4.499868e+001,2.276027e-002,2.155785e-004,3,9.864732e-001,9.471703e-001,,,,,,,,,,,,,,64,2,3.000000e+000,5.657196e-003,0.000000e+000,0,,0,
1454909975.988,,4.519054e+004,4.499727e+001,2.262055e-002,2.349318e-004,3,9.918523e-001,1.038577e+000,,,,,,,,,,,,,,64,2,3.000000e+000,7.537842e-003,0.000000e+000,0,,0,
1454910047.369,,4.016928e+004,4.499773e+001,2.255020e-002,4.831623e-004,3,9.923673e-001,2.142607e+000,,,,,,,,,,,,,,64,2,3.000000e+000,1.888275e-003,0.000000e+000,0,,0,
1454910118.991,,3.514878e+004,4.499492e+001,2.292546e-002,4.466855e-004,3,9.936342e-001,1.948425e+000,,,,,,,,,,,,,,64,2,3.000000e+000,1.130676e-002,0.000000e+000,0,,0,
1454910190.862,,3.012603e+004,4.500010e+001,2.362430e-002,4.811866e-004,3,9.956917e-001,2.036829e+000,,,,,,,,,,,,,,64,2,3.000000e+000,1.888275e-003,0.000000e+000,0,,0,
1454910262.743,,2.510626e+004,4.499726e+001,2.474869e-002,4.479854e-004,3,9.965032e-001,1.810138e+000,,,,,,,,,,,,,,64,2,3.000000e+000,1.131058e-002,0.000000e+000,0,,0,
1454910333.945,,2.008650e+004,4.499821e+001,2.658092e-002,5.250484e-004,3,9.966114e-001,1.975283e+000,,,,,,,,,,,,,,64,2,3.000000e+000,5.657196e-003,0.000000e+000,0,,0,
1454910406.616,,1.506628e+004,4.499680e+001,2.931302e-002,4.913018e-004,3,9.978454e-001,1.676053e+000,,,,,,,,,,,,,,64,2,3.000000e+000,9.429932e-003,0.000000e+000,0,,0,
1454910519.051,,1.004725e+004,4.499821e+001,3.383764e-002,5.904747e-004,3,9.974289e-001,1.745023e+000,,,,,,,,,,,,,,64,2,3.000000e+000,3.776550e-003,0.000000e+000,0,,0,
1454910577.722,,8.039935e+003,4.500151e+001,3.655913e-002,7.540993e-004,3,9.980782e-001,2.062684e+000,,,,,,,,,,,,,,64,2,3.000000e+000,3.761292e-003,0.000000e+000,0,,0,
1454910680.304,,6.026244e+003,4.499773e+001,4.000810e-002,8.186130e-004,3,9.971111e-001,2.046118e+000,,,,,,,,,,,,,,64,2,3.000000e+000,3.776550e-003,0.000000e+000,0,,0,
1454910738.915,,4.018484e+003,4.500291e+001,4.458923e-002,9.762158e-004,3,9.980096e-001,2.189353e+000,,,,,,,,,,,,,,64,2,3.000000e+000,1.130676e-002,0.000000e+000,0,,0,
1454910797.526,,2.008946e+003,4.499962e+001,5.223261e-002,1.118338e-003,3,9.984081e-001,2.141072e+000,,,,,,,,,,,,,,64,2,3.000000e+000,7.537842e-003,0.000000e+000,0,,0,
1454910855.747,,8.303267e-001,4.499633e+001,6.247045e-002,1.281427e-003,3,9.983315e-001,2.051254e+000,,,,,,,,,,,,,,64,2,3.000000e+000,7.537842e-003,0.000000e+000,0,,0,
1454910920.959,,-2.009465e+003,4.499963e+001,5.140262e-002,1.003242e-003,3,9.974858e-001,1.951734e+000,,,,,,,,,,,,,,64,2,3.000000e+000,1.888275e-003,0.000000e+000,0,,0,
1454910978.560,,-4.017743e+003,4.500433e+001,4.204348e-002,6.713176e-004,3,9.975253e-001,1.596722e+000,,,,,,,,,,,,,,64,2,3.000000e+000,5.649567e-003,0.000000e+000,0,,0,
1454911037.141,,-6.026541e+003,4.499538e+001,3.622884e-002,5.453328e-004,3,9.970866e-001,1.505245e+000,,,,,,,,,,,,,,64,2,3.000000e+000,1.129913e-002,0.000000e+000,0,,0,
1454911139.071,,-8.035339e+003,4.499491e+001,3.163117e-002,4.281461e-004,3,9.967238e-001,1.353558e+000,,,,,,,,,,,,,,64,2,3.000000e+000,1.129913e-002,0.000000e+000,0,,0,
1454911196.711,,-1.004429e+004,4.499538e+001,2.793634e-002,2.917642e-004,3,9.969068e-001,1.044390e+000,,,,,,,,,,,,,,64,2,3.000000e+000,9.429932e-003,0.000000e+000,0,,0,
1454911307.663,,-1.506658e+004,4.499538e+001,2.114215e-002,7.212867e-004,3,9.919879e-001,3.411605e+000,,,,,,,,,,,,,,64,2,3.000000e+000,9.418488e-003,0.000000e+000,0,,0,
1454911378.724,,-2.008946e+004,4.500010e+001,1.570076e-002,4.767744e-004,3,9.886340e-001,3.036633e+000,,,,,,,,,,,,,,64,2,3.000000e+000,3.768921e-003,0.000000e+000,0,,0,
1454911492.606,,-2.510997e+004,4.500103e+001,1.067927e-002,1.730517e-004,3,9.879079e-001,1.620445e+000,,,,,,,,,,,,,,64,2,3.000000e+000,7.537842e-003,0.000000e+000,0,,0,
1454911564.547,,-3.012826e+004,4.499774e+001,7.920143e-003,3.989183e-004,3,9.761183e-001,5.036756e+000,,,,,,,,,,,,,,64,2,3.000000e+000,7.537842e-003,0.000000e+000,0,,0,
1454911677.150,,-3.515100e+004,4.499821e+001,4.084223e-003,1.871248e-004,3,9.585502e-001,4.581649e+000,,,,,,,,,,,,,,64,2,3.000000e+000,9.418488e-003,0.000000e+000,0,,0,
1454911749.911,,-4.017150e+004,4.500056e+001,2.065386e-003,3.818373e-004,3,8.964211e-001,1.848745e+001,,,,,,,,,,,,,,64,2,3.000000e+000,7.537842e-003,0.000000e+000,0,,0,
1454911885.564,,-4.519202e+004,4.500103e+001,-2.335531e-003,3.218824e-004,3,9.091185e-001,1.378198e+001,,,,,,,,,,,,,,64,2,3.000000e+000,5.649567e-003,0.000000e+000,0,,0,
1454911958.155,,-5.021253e+004,4.499868e+001,-2.773744e-003,5.596083e-004,3,9.064221e-001,2.017520e+001,,,,,,,,,,,,,,64,2,3.000000e+000,3.776550e-003,0.000000e+000,0,,0,
1454912028.167,,-5.523452e+004,4.500198e+001,-4.008128e-003,4.347686e-004,3,9.332229e-001,1.084717e+001,,,,,,,,,,,,,,64,2,3.000000e+000,1.129913e-002,0.000000e+000,0,,0,
1454912161.199,,-6.025503e+004,4.499962e+001,-8.441120e-003,1.910518e-003,3,9.707222e-001,2.263346e+001,,,,,,,,,,,,,,64,2,3.000000e+000,5.657196e-003,0.000000e+000,0,,0,
1454912231.301,,-6.527555e+004,4.500103e+001,-7.749750e-003,2.071172e-004,3,9.620929e-001,2.672566e+000,,,,,,,,,,,,,,64,2,3.000000e+000,1.318741e-002,0.000000e+000,0,,0,
1454912301.832,,-7.029755e+004,4.499915e+001,-1.044532e-002,9.144068e-004,3,9.700074e-001,8.754223e+000,,,,,,,,,,,,,,64,2,3.000000e+000,1.888275e-003,0.000000e+000,0,,0,
1454912435.777,,-6.527407e+004,4.499726e+001,-2.193506e-002,1.145242e-003,3,9.769560e-001,5.221056e+000,,,,,,,,,,,,,,64,2,3.000000e+000,1.888275e-003,0.000000e+000,0,,0,
1454912509.578,,-6.025059e+004,4.499868e+001,-2.189610e-002,2.946262e-004,3,9.849125e-001,1.345565e+000,,,,,,,,,,,,,,64,2,3.000000e+000,7.537842e-003,0.000000e+000,0,,0,
1454912582.020,,-5.523008e+004,4.499868e+001,-2.198471e-002,2.142206e-004,3,9.885544e-001,9.744071e-001,,,,,,,,,,,,,,64,2,3.000000e+000,1.319122e-002,0.000000e+000,0,,0,
1454912655.961,,-5.020660e+004,4.499963e+001,-2.236206e-002,4.493025e-004,3,9.491022e-001,2.009218e+000,,,,,,,,,,,,,,64,2,3.000000e+000,1.888275e-003,0.000000e+000,0,,0,
1454912728.923,,-4.518906e+004,4.499821e+001,-2.111530e-002,1.921159e-003,3,9.745946e-001,9.098419e+000,,,,,,,,,,,,,,64,2,3.000000e+000,5.657196e-003,0.000000e+000,0,,0,
1454912801.794,,-4.016928e+004,4.500104e+001,-2.195447e-002,6.716640e-004,3,9.925489e-001,3.059350e+000,,,,,,,,,,,,,,64,2,3.000000e+000,7.530212e-003,0.000000e+000,0,,0,
1454912874.036,,-3.514803e+004,4.499915e+001,-2.227277e-002,1.009409e-003,3,9.937212e-001,4.532032e+000,,,,,,,,,,,,,,64,2,3.000000e+000,5.657196e-003,0.000000e+000,0,,0,
1454912946.217,,-3.012455e+004,4.499868e+001,-2.347843e-002,6.102324e-004,3,9.956621e-001,2.599119e+000,,,,,,,,,,,,,,64,2,3.000000e+000,5.657196e-003,0.000000e+000,0,,0,
1454913019.009,,-2.510626e+004,4.500339e+001,-2.468887e-002,4.152426e-004,3,9.952984e-001,1.681902e+000,,,,,,,,,,,,,,64,2,3.000000e+000,1.131058e-002,0.000000e+000,0,,0,
1454913091.720,,-2.008724e+004,4.500292e+001,-2.648275e-002,4.743654e-004,3,9.964581e-001,1.791224e+000,,,,,,,,,,,,,,64,2,3.000000e+000,3.761292e-003,0.000000e+000,0,,0,
1454913162.961,,-1.506628e+004,4.499821e+001,-2.938952e-002,5.874191e-004,3,9.973937e-001,1.998736e+000,,,,,,,,,,,,,,64,2,3.000000e+000,1.888275e-003,0.000000e+000,0,,0,
1454913273.376,,-1.004844e+004,4.500151e+001,-3.383926e-002,5.478063e-004,3,9.970826e-001,1.618848e+000,,,,,,,,,,,,,,64,2,3.000000e+000,3.768921e-003,0.000000e+000,0,,0,
1454913333.177,,-8.040380e+003,4.499915e+001,-3.644011e-002,6.429502e-004,3,9.969113e-001,1.764402e+000,,,,,,,,,,,,,,64,2,3.000000e+000,7.537842e-003,0.000000e+000,0,,0,
1454913435.469,,-6.026244e+003,4.499868e+001,-3.982926e-002,6.223457e-004,3,9.968327e-001,1.562534e+000,,,,,,,,,,,,,,64,2,3.000000e+000,0.000000e+000,0.000000e+000,0,,0,
1454913493.780,,-4.017521e+003,4.499773e+001,-4.438316e-002,8.218056e-004,3,9.971656e-001,1.851616e+000,,,,,,,,,,,,,,64,2,3.000000e+000,7.537842e-003,0.000000e+000,0,,0,
1454913594.882,,-2.009242e+003,4.499774e+001,-5.036228e-002,3.618649e-004,3,9.980818e-001,7.185237e-001,,,,,,,,,,,,,,64,2,3.000000e+000,5.657196e-003,0.000000e+000,0,,0,
1454913653.323,,-8.599813e-001,4.499633e+001,-6.230631e-002,1.093200e-003,3,9.977690e-001,1.754557e+000,,,,,,,,,,,,,,64,2,3.000000e+000,5.649567e-003,0.000000e+000,0,,0,
1454913718.025,,2.009539e+003,4.499680e+001,-5.142965e-002,1.016592e-003,3,9.972235e-001,1.976666e+000,,,,,,,,,,,,,,64,2,3.000000e+000,7.537842e-003,0.000000e+000,0,,0,
1454913777.196,,4.018115e+003,4.500198e+001,-4.208679e-002,7.882672e-004,3,9.971553e-001,1.872956e+000,,,,,,,,,,,,,,64,2,3.000000e+000,3.761292e-003,0.000000e+000,0,,0,
1454913835.897,,6.026096e+003,4.499727e+001,-3.635871e-002,6.008086e-004,3,9.967211e-001,1.652448e+000,,,,,,,,,,,,,,64,2,3.000000e+000,5.657196e-003,0.000000e+000,0,,0,
1454913937.559,,8.036970e+003,4.499868e+001,-3.161332e-002,4.137872e-004,3,9.953679e-001,1.308902e+000,,,,,,,,,,,,,,64,2,3.000000e+000,3.776550e-003,0.000000e+000,0,,0,
1454914016.480,,1.004369e+004,4.500103e+001,-2.750746e-002,3.340520e-004,3,9.976466e-001,1.214405e+000,,,,,,,,,,,,,,64,2,3.000000e+000,7.537842e-003,0.000000e+000,0,,0,
